Count,month-year
1,1
4,2
1,3
2,4
1,5
2,6
4,7
3,8
1,9
1,10
4,11
4,12
1,13
1,14
6,15
2,16
4,17
2,18
2,19
2,20
4,21
6,22
6,23
4,24
